Name,Size,Type,Align.,AC,HP,Speed,Swim,Fly,Climb,Burrow,STR,DEX,CON,INT,WIS,CHA,STR save,DEX save,CON save,INT save,WIS save,CHA save,Acrobatics,Animal Handling,Arcana,Athletics,Deception,History,Insight,Intimidation,Investigation,Medicine,Nature,Perception,Performance,Persuasion,Religion,Sleight of Hand,Stealth,Survival,WRI,Acid Resistance,Acid Immunity,Cold Res,Cold Immu,Fire Res,Fire Immu,Force Res,Force Immu,Lightening Res,Lightneing Immu,Necrotic Res,Necrotic Immu,Poison Res,Poison Immu,Psychic Res,Psychic Immu,Radiant Res,Radiant Immu,Slashing Res,Slashing Immu,Piercing Res,Piercing Immu,Thunder Res,Thunder Immu,Charmed Immunity,Exhaustion Immunity,Frightened Immunity,Paralyzed Immunity,Prone Immunity,Unconscious Immunity,Senses,Blindsight,Darkvision,Truesight,Tremorsense,Normal,Normal Spellcasting,Master of the Grave,Evasion,Legendary Resistance,Languages,Abyssal,Alive,All,Any,Aquan,Auran,Bothii,Celestial,Common,Creator,Deep Speech,Draconic,Druidic,Dwarvish,Elvish,Giant,Gnoll,Gnomish,Goblin,Ignan,Infernal,Infernal,Modron,None,Olman,Orc,Own,Primal,Primordial,Spider,Sylvan,Telepathy,Terran,Thayan,Thieves' Cant,Undercommon,Yikaria,Telepathy Distance,CR,Additional,Origin
"Demon, Dybbuk",Medium,Fiend (Demon),CE,14,37,,,40,,,6,19,16,16,15,14,,,,,,,,,,,Y,,,Y,,,,Y,,,,,,,"Acidres, coldres, fireres, lightiningres, thunderres, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restraindeimmu",Y,,Y,,Y,,,,,,,,,Y,,,,,,,,,Y,,Y,Y,Y,Y,Y,,Darkvision 120,,120,,,,,,,,"Abyssal, Common, telepathy 120",Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,4.00,"Incorporeal Movement, Innate Spellcasting, Magic Resistance, Violate Corpse",Mordenkainen's Tome of Foes
"Demon, Glabrezu",Large,Fiend (Demon),CE,17,157,40,,,,,20,15,21,19,17,16,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,9.00,"Innate Spellcasting, Magic Resistance",Monster Manual
"Demon, Marilith",Large,Fiend (Demon),CE,18,189,40,,,,,18,20,20,18,16,20,Y,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,16.00,"Magic Resistance, Magic Weapons, Reactive",Monster Manual
"Demon, Maurezhi",Medium,Fiend (Demon),CE,15,88,30,,,,,14,17,12,11,12,15,,,,,,,,,,,Y,,,,,,,,,,,,,,"Coldres, fireres, lightningres, necroticres, nonmagicalres, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",,,Y,,Y,,,,Y,,Y,,,Y,,,,,,,,,,,Y,Y,,,,,Darkvision 120,,120,,,,,,,,"Abyssal, Elvish, telepathy 120",Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,120,7.00,"Assume Form, Magic Resistance",Mordenkainen's Tome of Foes
"Demon, Molydeus",Huge,Fiend (Demon),CE,19,216,40,,,,,28,22,25,21,24,24,Y,Y,,,Y,Y,,,,,,,,,,,,Y,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, blindedimmu, charmedimmu, deafenedimmu, frightenedimmu, poisonedimmu, stunnedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,Y,,Y,,,,Truesight 120,,,120,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,21.00,"Innate Spellcasting, Legendary, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Demon, Nabassu",Medium,Fiend (Demon),CE,18,190,40,,60,,,22,14,21,14,15,17,Y,,Y,,,,,,,,,,,,,,,Y,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 60,,60,,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,15.00,"Demonic Shadows, Devour Soul, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Demon, Nalfeshnee",Large,Fiend (Demon),LE,18,184,20,,30,,,21,10,22,19,12,15,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,13.00,Magic Resistance,Monster Manual
"Demon, Shadow",Medium,Fiend (Demon),CE,13,66,30,,30,,,1,17,12,14,13,14,,,Y,,,Y,,,,,,,,,,,,,,,,,Y,,"Radiantweak, acidres, fireres, necroticres, thunderres, nonmagicalres, coldimmu, lightningimmu, poisonimmu, exhaustionimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Y,,,Y,Y,,,,,Y,Y,,,Y,,,,,,,,,Y,,,Y,,Y,Y,,Darkvision 120,,120,,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,4.00,"Incorporeal Movement, Light Sensitivity, Shadow Stealth",Monster Manual
"Demon, Sibriex",Huge,Fiend (Demon),CE,19,150,,,20,,,10,3,23,25,24,25,,,,Y,,Y,,,Y,,,Y,,,,,,Y,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,18.00,"Contamination, Innate Spellcasting, Legendary, Magic Resistance",Mordenkainen's Tome of Foes
"Demon, Vrock",Large,Fiend (Demon),CE,15,104,40,,60,,,17,15,18,8,13,8,,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,6.00,Magic Resistance,Monster Manual
"Demon, Wastrilith",Large,Fiend (Demon),CE,18,157,30,80,,,,19,18,21,19,12,14,Y,Y,,,,,,,,,,,,,,,,,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonres, poisonedres",,,Y,,Y,,,,Y,,,,Y,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,13.00,"Amphibious, Corrupt Water, Magic Resistance, Undertow",Mordenkainen's Tome of Foes
"Demon, Yochlol",Medium,Fiend (Demon),CE,15,136,30,,,30,,15,14,18,13,15,15,,,Y,Y,Y,Y,,,,,Y,,Y,,,,,,,,,,,,"Coldres, fireres, lightningres, nonmagicalres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Abyssal, Elvish, Undercommon",Y,,,,,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,Y,,,10.00,"Shapechanger, Magic Resistance, Spider Climb, Innate Spellcasting, Web Walker",Monster Manual
Derro,Small,Humanoid (Derro),CE,13,13,30,,,,,10,14,12,11,5,9,,,,,,,,,,,,,,,,,,,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,0.25,"Magic Resistance, Sunlight Sensitivity",Mordenkainen's Tome of Foes
Derro Savant,Small,Humanoid (Derro),CE,13,36,30,,,,,9,14,12,11,5,14,,,,,,,,,,,,,,,,,,,,,,,Y,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Dwarvish, Undercommon",,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,,,,,,Y,,,3.00,"Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes
"Devil, Abishai, Black",Medium,Fiend (Devil),LE,15,58,30,,40,,,14,17,14,13,16,11,,,Y,,Y,,,,,,,,,,,,,Y,,,,,Y,,"COldres, nonmagicalres, nonsilveredres, acidimmu, fireimmu, poisonimmu, poisonedimmu",,Y,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Draconic, Infernal, telepathy 120",,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,7.00,"Devil's Sight, Magic Resistance, Magic Weapons, Shadow Stealth",Mordenkainen's Tome of Foes
"Devil, Abishai, Blue",Medium,Fiend (Devil),LE,19,195,30,,50,,,15,14,17,22,23,18,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, lightiningimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Draconic, Infernal, telepathy 120",,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,17.00,"Devil's Sight, Magic Resistance, Magic Weapons, Normal Spellcasting",Mordenkainen's Tome of Foes
"Devil, Abishai, Green",Medium,Fiend (Devil),LE,18,187,30,,40,,,12,17,16,17,12,19,,,,Y,,Y,,,,,Y,,Y,,,,,Y,,Y,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonedimmu",,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Draconic, Infernal, telepathy 120",,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,15.00,"Devil's Sight, Innate Spellcasting, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Devil, Abishai, Red",Medium,Fiend (Devil),LE,22,255,30,,50,,,23,16,19,14,15,19,Y,Y,,,Y,,,,,,,,,Y,,,,Y,,,,,,,"COldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Draconic, Infernal, telepathy 120",,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,19.00,"Devil's SIght, Magic Resistance, Magic Weapons",Mordenkainen's Tome of Foes
"Devil, Abishai, White",Medium,Fiend (Devil),LE,15,68,30,,40,,,16,11,18,11,12,13,Y,Y,,,,,,,,,,,,,,,,,,,,,,,"Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, poisonedimmu",,,,Y,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Draconic, Infernal, telepathy 120",,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,6.00,"Devil's Sight, Magic Resistance, Magic Weapons, Reckless",Mordenkainen's Tome of Foes
"Devil, Amnizu",Medium,Fiend (Devil),LE,21,202,30,,40,,,11,13,16,20,12,18,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,,,"COldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,Y,,,,,,Darkvision 120,,120,,,,,,,,"Common, Infernal, telepathy 1000",,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,18.00,"Devil's Sight, Innate Spellcasting, Magic Resistance",Mordenkainen's Tome of Foes
"Devil, Arch, Bael",Large,Fiend (Devil),LE,18,189,30,,,,,24,17,20,21,24,24,,Y,Y,Y,,Y,,,,,,,,Y,,,,Y,,Y,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,19.00,"Dreadful, Innate Spellcasting, Legendary Resistance, Magic Resistance, Magic Weapons, Regeneration, Lair",Mordenkainen's Tome of Foes
"Devil, Arch, Geryon",Huge,Fiend (Devil),LE,19,300,30,,50,,,29,17,22,19,16,23,,Y,Y,,Y,Y,,,,,Y,,,Y,,,,Y,,,,,,,"Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,,Y,,Y,,,,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,22.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes
"Devil, Arch, Hutijin",Large,Fiend (Devil),LE,19,200,30,,60,,,27,15,25,23,19,25,,Y,Y,,Y,,,,,,,,,Y,,,,Y,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Truesight 120,,,120,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,21.00,"Infernal Despair, Innate Spellcasting, Legendary, Magic Resistance, Lair, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes
"Devil, Arch, Moloch",Large,Fiend (Devil),LE,19,253,30,,,,,26,19,22,21,18,23,,Y,Y,,Y,Y,,,,,Y,,,Y,,,,Y,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,Y,Y,Y,,,,Darkvision 120,,120,,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,21.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration",Mordenkainen's Tome of Foes
"Devil, Arch, Titivilus",Medium,Fiend (Devil),LE,20,127,40,,60,,,19,22,17,24,22,26,,Y,Y,,Y,Y,,,,,Y,,Y,Y,,,,,,Y,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,Y,Y,,,,Darkvision 120,,120,,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,16.00,"Innate Spellcasting, Legendary, Lair, Magic Resistance, Magic Weapons, Regeneration, Ventriloquism",Mordenkainen's Tome of Foes
"Devil, Arch, Zariel",Large,Fiend (Devil),LE,21,580,50,,150,,,27,24,28,26,27,30,,,,Y,Y,Y,,,,,,,,Y,,,,Y,,,,,,,"Coldres, fireres, radiantres, nonmagicalres, nonsilveredres, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, poisonedimmu",,,Y,,Y,,,,,,,Y,,Y,,,Y,,,,,,,,Y,Y,Y,,,,Darkvision 120,,120,,,,,,,,"All, telepathy 120",,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,26.00,"Devil's Sight, Fiery Weapons, Innate Spellcasting, Legendary, Lair, Magic Resistance, Regeneration",Mordenkainen's Tome of Foes
"Devil, Barbed",Medium,Fiend (Devil),LE,15,110,30,,,,,16,17,18,12,14,14,Y,Y,,,Y,Y,,,,,Y,,Y,,,,,Y,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,5.00,"Barbed Hide, Devil's Sight, Magic Resistance",Monster Manual
"Devil, Bearded",Medium,Fiend (Devil),LE,13,52,30,,,,,16,15,15,9,11,11,Y,Y,,,Y,,,,,,,,,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,3.00,"Devil's Sight, Magic Resistance, Steadfast",Monster Manual
"Devil, Bone",Large,Fiend (Devil),LE,19,142,40,,40,,,18,16,18,13,14,16,,,,Y,Y,Y,,,,,Y,,Y,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,9.00,"Devil's Sight, Magic Resistance",Monster Manual
"Devil, Chain",Medium,Fiend (Devil),LE,16,85,30,,,,,18,15,18,11,12,14,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,8.00,"Devil's Sight, Magic Resistance",Monster Manual
"Devil, Erinyes",Medium,Fiend (Devil),LE,18,153,30,,60,,,18,16,18,14,14,18,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,12.00,"Hellish Weapons, Magic Resistance",Monster Manual
"Devil, Horned",Large,Fiend (Devil),LE,18,178,20,,60,,,22,17,21,12,16,17,Y,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,11.00,"Devil's Sight, Magic Resistance",Monster Manual
"Devil, Ice",Large,Fiend (Devil),LE,18,180,40,,,,,21,14,18,18,15,18,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,,"Nonmagicalres, nonsilveredres, coldimmu, fireimmu, poisonimmu, poisonedimmu",,,,Y,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,14.00,"Devil's Sight, Magic Resistance",Monster Manual
"Devil, Imp",Tiny,Fiend (Devil),LE,13,10,20,,40,,,6,17,13,11,12,14,,,,,,,,,,,Y,,Y,,,,,,,Y,,,Y,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Infernal, Common",,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,1.00,"Shapechanger, Devil's Sight, Magic Resistance",Monster Manual
"Devil, Narzugon",Medium,Fiend (Devil),LE,20,112,30,,,,,20,10,17,16,14,19,,Y,Y,,,Y,,,,,,,,,,,,Y,,,,,,,"Acidres, coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, frightenedimmu, poisonedimmu",Y,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,Y,,Y,,,,Darkvision 120,,120,,,,,,,,"Common, Infernal, telepathy 120",,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,13.00,"Diabolical Sense, Infernal Tack, Magic Resistance",Mordenkainen's Tome of Foes
"Devil, Orthon",Large,Fiend (Devil),LE,17,105,30,,,30,,22,16,21,15,15,16,,Y,Y,,Y,,,,,,,,,,,,,Y,,,,,Y,Y,"COldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, charmedimmu, exhaustionimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,Y,Y,,,,,"Darkvision 120, truesight 30",,120,30,,,,,,,"Common, INfernal, telepathy 120",,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,10.00,"Invisibility Field, Magic Resistance",Mordenkainen's Tome of Foes
"Devil, Pit Fiend",Large,Fiend (Devil),LE,19,300,30,,60,,,26,14,24,22,18,24,,Y,Y,,Y,,,,,,,,,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireres, poisonres, poisonedres",,,Y,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,Truesight 120,,,120,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,20.00,"Fear Aura, Magic Resistance, Magic Weapon, Innate Spellcasting",Monster Manual
"Devil, Spined",Small,Fiend (Devil),LE,15,22,20,,40,,,10,15,12,11,14,8,,,,,,,,,,,,,,,,,,,,,,,,,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",,,Y,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Infernal, telepathy 120",,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,Y,,,,,,120,2.00,"Devil's Sight, Flyby, Limited Spines, Magic Resistance",Monster Manual
Devourer,Large,Fiend,CE,16,178,30,,,,,20,12,20,13,10,16,,,,,,,,,,,,,,,,,,,,,,,,,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",,,Y,,Y,,,,Y,,,,,Y,,,,,,,,,,,,,,,,,Darkvision 120,,120,,,,,,,,"Abyssal, telepathy 120",Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,120,13.00,None,Volo's Guide to Monsters
Doppelganger,Medium,Monstrosity,N,14,52,30,,,,,11,18,14,11,12,14,,,,,,,,,,,Y,,Y,,,,,,,,,,,,Charmedimmu,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,Darkvision 60,,60,,,,,,,,Common,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,"Shapechanger, Ambusher, Surprise Attack",Monster Manual
"Dragon, Chromatic, Black, Adult",Huge,Dragon,CE,19,195,40,80,40,,,23,14,21,14,13,17,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Acidimmu,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,14.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Black, Ancient",Gargantuan,Dragon,CE,22,367,40,80,40,,,27,14,25,16,15,19,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Acidimmu,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual
"Dragon, Chromatic, Black, Wyrmling",Medium,Dragon,CE,17,33,30,30,60,,,15,14,13,10,11,13,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Acidimmu,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,Amphibious,Monster Manual
"Dragon, Chromatic, Black, Young",Large,Dragon,CE,18,127,40,80,40,,,19,14,17,12,11,15,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Acidimmu,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blindsight 10, darkvision 60",10,60,,,,,,,,Draconic,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,Amphibious,Monster Manual
"Dragon, Chromatic, Blue, Adult",Huge,Dragon,LE,19,225,40,,80,,40,25,10,23,16,15,19,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00,"Legendary, Legendary Resistance, Lair",Monster Manual
"Dragon, Chromatic, Blue, Ancient",Gargantuan,Dragon,LE,22,481,40,,80,,30,29,10,27,18,17,21,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,"Blindsight 60, darkvision 120",60,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00,"Legendary, Legendary Resistance, Lair",Monster Manual
"Dragon, Chromatic, Blue, Wyrmling",Medium,Dragon,LE,17,52,30,,60,,15,17,10,15,12,11,15,,Y,Y,,Y,Y,,,,,,,,,,,,Y,,,,,Y,,Lightningimmu,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,"Blindsight 30, darkvision 120",30,120,,,,,,,,"Common, Draconic",,,,,,,,,Y,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,None,Monster Manual
